"","X..i..","freq"
"490","Steinmetz- und Steinbildhauer,in",5
"491","Maler,in",13
"492","Diplom-Informatiker,in",9
"493","Reinigungskraft",1
"494","Elektroanlagentechniker,in",4
"495","Handwerker,in",3
"496","Datenverarbeitungskaufmann,frau",2
"497","Küchenchef,in",4
"498","Betonstein- und Terrazzohersteller,in",2
"499","Produktionsleiter,in",11
"500","Anlagentechniker,in",2
"501","Foto-Designer,in",10
"502","Logistik-Ingenieur,in",8
"503","Versicherungsagent,in",6
"504","Präparator,in",1
"505","Softwareservicetechniker,in",6
"506","Eiscafebesitzer,in",3
"507","Hochbautechniker,in",6
"508","Personalleiter,in",18
"509","Softwareingenieur,in",26
"510","Heilerzieher,in",3
"511","Student,in (Kommunikationsdesign)",3
"512","Flugzeugwartungsingenieur,in",2
"513","Softwareberater,in",3
"514","Auszubildende,r (Industriemechaniker,in)",9
"515","Student,in (Wirtschaftsingenieurwesen)",38
"516","Bergmann",8
"517","Planer,in",15
"518","Geograph,in",3
"519","Bäckereifachverkäufer,in",12
"520","Finanzvermittler,in",2
"521","Gas- und Wasserinstallateur,in",13
"522","Biolaborant,in",1
"523","Marketingleiter,in",13
"524","Flugzeugbauer,in",4
"525","Produktionshelfer,in",25
"526","Speditionskaufmann,frau",58
"527","Fahrer,in",15
"528","Fußbodenleger,in",2
"529","Werkstoffprüfer,in",11
"530","Kosmetiker,in",11
"531","Industriefachwirt,in",8
"532","Kinderkrankenschwester",14
"533","Imbissstubenbesitzer,in",3
"534","Bildungsberater,in",2
"535","Betriebsratvorsitzende,r",6
"536","Arzt,Ärztin (Strahlenmedizin, Chirurgie)",21
"537","Montagehelfer,in",4
"538","",6
"539","Designer,in Industrie",3
"540","Bekleidungstechniker,in Entwurf und Gestaltung",1
"541","Chemikant,in",35
"542","Hafenarbeiter,in",8
"543","Montage-Schreiner,in",2
"544","Handelsfachwirt,in",7
"545","Bodenleger,in",7
"546","Steuerfachwirt,in",9
"547","Aufzugmonteur,in",2
"548","Verwaltungsbeamter,beamtin beim Bund",3
"549","Betriebsleiter,in",17
"550","Zahnmedizinische,r Assistent,in",10
"551","Außendienstverkäufer,in",3
"552","Revisor,in",9
"553","Produktentwickler,in",18
"554","Zahnmedizinische,r Fachhelfer,in",7
"555","Zahnarzt,ärztin",29
"556","Staplerfahrer,in",8
"557","Kaufmännische,r Geschäftsführer,in",2
"558","Hauswirtschafter,in",12
"559","Geschäftsbereichsleiter,in, Direktionsassistent,in",2
"560","Pharmaingenieur,in",3
"561","Luftverkehrskaufmann,frau",2
"562","Regierungsinspektor,in",6
"563","Vertriebsmanager,in",12
"564","Maschinenbauer,in",4
"565","Mediendesigner,in",3
"566","Geschäftsführer,in (sonstige)",23
"567","Tagesmutter",2
"568","Betriebsleiterassistent,in",5
"569","Bankbetriebswirt,in",17
"570","EDV-Anwendungstechniker,in",5
"571","Anästhesist,in",2
"572","Grafik-Designer,in",20
"573","Vorstandsassistent,in",6
"574","Fliesen- und Mosaikleger,in",1
"575","Unternehmensberater,in und verwandte Berufe",9
"576","Sozialbetreuer,in",2
"577","Akkordarbeiter,in",5
"578","Kraftfahrzeugelektromechaniker,in",3
"579","Diplom-Ingenieur,in Medientechnik",2
"580","Pflegedienstleiter,in",17
"581","Heilerziehungspflegehelfer,in",1
"582","Unternehmer,in",12
"583","Umweltberater,in",2
"584","Großhandelskaufmann,frau",15
"585","Ingenieurassistent,in Energietechnik",4
"586","Biologielaborant,in",5
"587","Flugbegleiter,in",17
"588","Energieanlagenelektroniker,in",10
"589","Berufsfahrer,in",2
"590","Küster,in",2
"591","Konstruktionsingenieur,in",11
"592","Projektleiter,in (EDV)",18
"593","Leitende,r Angestellte,r",17
"594","Personalsachbearbeiter,in",17
"595","Energieingenieur,in",6
"596","Verfahrensmechaniker,in (Metallumformung)",2
"597","Sonderschullehrer,in",12
"598","Diplom-Ingenieur,in Veranstaltungstechnik",2
"599","Referent,in (EDV)",7
"600","Berechnungsingenieur,in",8
"601","Friseur,in",20
"602","Fachkraft Süßwarentechnik",2
"603","Industrieanlagenmechaniker,in",16
"604","Wagenpfleger,in",1
"605","Großküchenkoch,köchin",3
"606","Student,in (Gesundheitsmanagement)",8
"607","Verpackungsmittelmechaniker,in",5
"608","Messtechniker,in",3
"609","Sachverständige,r",9
"610","Werkstudent,in",8
"611","Raumausstatter,in",16
"612","Diplom-Grafik-Designer,in",1
"613","Lager-, Transportarbeiter,in",17
"614","Kellner,in m. Ausbildung",3
"615","Automatisierungsingenieur,in",13
"616","Ingenieur,in für Informationsverarbeitung",1
"617","Sudmeister,in",1
"618","Flugzeugabfertiger,in",5
"619","Fertigungstechniker,in",2
"620","Medizinisch-technische,r Assistent,in und verwandte Berufe",4
"621","Gastronom, Gastronomin",13
"622","Brandschutzprüfer,in",4
"623","Sekretär,in Gesundheitswesen",3
"624","Facharbeiter,in",8
"625","Fachwirt,in",6
"626","Karosserie- und Fahrzeugbautechniker,in",4
"627","Fluggerät-, Flugtriebwerkmechaniker,in, Fluggerätbauer,in",5
"628","Energietechnikingenieur,in",4
"629","Diplom-Ingenieur,in Elektrotechnik allg.",15
"630","Kartograph,in",2
"631","Krankenpflegehelfer,in",4
"632","Kundendienstsachbearbeiter,in",6
"633","Steuerberatungsassistent,in",6
"634","Marketing-Assisstent,in",21
"635","Justizvollzugsobersekretär,in",4
"636","Werkzeugmechaniker,in",14
"637","Facharbeiter,in für Lagerwirtschaft",1
"638","Diplom-Ingenieur,in Verfahrenstechnik",5
"639","Controller-Assistent,in",2
"640","Instandhaltungstechniker,in",3
"641","Gabelstaplerfahrer,in",6
"642","Evang. Diakon,in",1
"643","Qualitätstechniker,in",3
"644","Immobilienberater,in",5
"645","Kriminalkommissar,in",8
"646","Sanitärinstallateurmeister,in",2
"647","Verpacker,in",3
"648","Sonstige feinwerktechnische und verwandte Berufe",4
"649","Filmschaffende,r",2
"650","Innendienstangestellte,r",7
"651","Apotheker,in",16
"652","Technische,r Redakteur,in",23
"653","Bautechniker,in",13
"654","Anlagenmechaniker,in",25
"655","Einsatzleiter,in",6
"656","Technische,r Zeichner,in",12
"657","Anlagenmonteur,in",9
"658","Chiropraktiker,in",4
"659","Winzer,in",4
"660","Teamsekretär,in",25
"661","Großhändler,in",2
"662","Auszubildende,r (Kaufmann,Kauffrau im Groß- und Außenhandel)",16
"663","Versicherungsfachwirt,in",15
"664","Montageleiter,in",3
"665","Polizeibeamter,beamtin",25
"666","Fleischer,in",2
"667","Ber",1
"668","Berater,in (EDV",1
"669","Malermeister,in",5
"670","Psychologe,Psychologin",21
"671","Vertriebskaufmann,frau",7
"672","Student,in (Medien)",6
"673","Marketingberater,in",4
"674","Straßenarbeiter,in",8
"675","Werbetechniker,in",2
"676","Gerätewart,in",3
"677","Haushaltshilfe",5
"678","Assistent,in der Geschäftsleitung",22
"679","Anlagenfahrer,in",4
"680","Anlagenführer,in",13
"681","IT-Security-Manager,in",4
"682","Berufskraftfahrer, Kutscher",7
"683","Lagerleiter,in",3
"684","Anwendungsberater,in (EDV)",8
"685","Kindergärtner,in",13
"686","Feinmechaniker,in",3
"687","Zerspanungsfacharbeiter,in",4
"688","Augenoptikermeister,in",3
"689","Diplom-Ingenieur,in Elektronik",4
"690","Lackierer,in",6
"691","Lohnbuchhalter,in",2
